4119	1
3472	2
498	3
946	4
1911	5
6474	6
3027	7
203	8
4282	9
6625	10
4974	11
143	12
1692	13
654	14
5116	15
3165	16
2553	17
629	18
2134	19
539	20
2357	21
8185	22
1155	23
3148	24
6428	25
1859	26
790	27
6167	28
2570	29
2028	30
2514	31
3876	32
2634	33
6056	34
256	35
1173	36
4196	37
3866	38
6396	39
7372	40
736	41
114	42
7594	43
362	44
450	45
3509	46
2648	47
5747	48
994	49
6250	50
429	51
6094	52
8791	53
272	54
8625	55
8116	56
2744	57
6639	58
1797	59
7326	60
1644	61
6440	62
4833	63
2086	64
3757	65
2368	66
625	67
5587	68
3839	69
5046	70
4063	71
8688	72
1746	73
1022	74
5192	75
3387	76
4433	77
261	78
4622	79
3507	80
6240	81
2143	82
1773	83
7793	84
4925	85
3639	86
5188	87
5333	88
3900	89
6728	90
1333	91
4502	92
3285	93
4798	94
2612	95
6366	96
5656	97
1062	98
6091	99
5922	100
8719	101
7469	102
4619	103
390	104
1388	105
209	106
5664	107
452	108
925	109
7539	110
8220	111
1189	112
2187	113
5320	114
5773	115
5716	116
516	117
3491	118
5108	119
4877	120
1093	121
7208	122
7143	123
8244	124
5190	125
2873	126
5544	127
5140	128
110	129
836	130
5719	131
5277	132
5831	133
5538	134
4825	135
3497	136
6594	137
3071	138
7748	139
331	140
8574	141
79	142
5627	143
4573	144
7771	145
7108	146
4918	147
5344	148
644	149
5365	150
2016	151
2986	152
2176	153
2701	154
6742	155
3545	156
5619	157
6312	158
3249	159
6991	160
1436	161
3185	162
2204	163
7396	164
96	165
2641	166
3981	167
5303	168
3350	169
299	170
4429	171
107	172
1378	173
7936	174
6322	175
4879	176
813	177
8685	178
739	179
8054	180
8601	181
828	182
2026	183
4699	184
144	185
6337	186
8821	187
7429	188
4518	189
578	190
5064	191
4124	192
1	193
3763	194
372	195
159	196
1087	197
8533	198
394	199
6652	200
350	201
7399	202
816	203
3684	204
73	205
208	206
3578	207
4438	208
4726	209
3112	210
8593	211
7649	212
10	213
772	214
6541	215
13	216
2375	217
4205	218
610	219
1870	220
7586	221
3368	222
106	223
4258	224
5015	225
7579	226
8140	227
200	228
2715	229
4758	230
1542	231
5167	232
2321	233
5586	234
375	235
762	236
494	237
3450	238
3505	239
6006	240
7414	241
4873	242
2212	243
6548	244
7943	245
989	246
1623	247
49	248
8575	249
2903	250
5651	251
1750	252
7184	253
6691	254
276	255
809	256
4575	257
56	258
260	259
5332	260
104	261
8290	262
4835	263
3551	264
6569	265
4268	266
2366	267
8441	268
2	269
5484	270
3977	271
3968	272
6482	273
2821	274
4159	275
667	276
1405	277
1763	278
6630	279
