188	168	18	115.57
102	1846	6	26.69
865	216	3	21.69
949	954	3	32.56
228	262	6	36.76
2	113	872	5568.43
205	142	4	12.44
348	165	4	20.21
106	575	5	14.81
103	844	15	69.19
119	217	5	13.43
1280	12	7	11.51
174	132	5	13.12
104	488	3	4.46
153	217	4	14.3
260	1194	3	25.25
103	1991	6	28.24
2370	792	3	38.03
339	104	5	8.29
2251	116	7	60.82
976	12	11	21.87
103	5255	4	32.06
700	391	3	24.63
105	1884	5	28.28
5810	234	4	57.85
3179	2933	8	173.05
101	207	49	164.68
242	179	129	1692.23
403	1254	5	53.87
694	747	8	94.37
546	1088	4	42.14
101	409	6	6.18
1212	512	10	129.59
1262	170	14	154.31
2093	116	3	19.25
285	1119	3	25.38
144	114	21	69.29
6746	5645	3	68.64
144	233	3	9.06
12	1004	9	14.88
116	258	4	9.52
166	135	3	5.43
2017	3080	3	46.67
196	594	3	18.09
986	282	5	46.2
103	1099	5	14.3
554	109	5	16.23
1393	696	3	32.89
768	118	14	108.27
1897	494	3	33.2
2966	8	8	71.53
150	177	24	154.03
520	111	4	12.12
474	352	3	21.6
2	487	12	29.78
134	580	3	13.64
106	268	8	17.76
2133	14	3	4.98
130	764	3	14.61
790	103	3	3.86
106	2560	3	16.04
2329	14	3	5.85
103	539	17	65.75
1220	14	4	4.41
9	14	211	171.51
417	2874	3	35.34
260	690	3	21.54
217	299	6	37.81
156	1273	3	20.94
118	284	3	6.97
101	1745	4	12.02
1980	102	3	9.19
640	12	8	5.41
101	1865	3	7.99
676	154	4	24.39
119	4221	3	26.47
133	160	4	7.97
101	974	12	48.25
899	102	3	4.23
611	12	9	7.08
147	134	3	3.84
312	1660	4	40.87
101	1092	6	16.75
4559	1248	5	91.76
1185	128	5	34.58
110	451	5	15.82
248	1095	3	24.21
103	1360	3	6.97
1953	5609	3	53.62
103	1300	7	27.77
139	6206	4	50.31
1036	747	3	31.53
1030	101	4	7.61
142	172	9	36.34
101	2565	3	10.32
115	110	33	65.16
287	5170	3	40.19
132	283	3	8.71
346	111	12	51.78
12	163	50	43.08
8	596	5	15.7
2100	102	3	9.61
282	1789	5	53.66
101	771	23	116.76
360	12	13	6.86
110	196	7	12.68
694	369	3	24.22
2762	12	4	9.51
386	1264	5	53.27
526	425	3	23.62
262	1094	3	24.63
1936	4020	3	49.81
3544	12	3	7.6
2091	106	6	38.61
1483	8	3	12.22
149	110	6	5.12
225	101	12	11.64
2297	1839	4	61.94
1287	117	3	16.01
2289	4412	3	50.77
3473	4076	6	132.21
351	108	9	30.25
184	1012	3	21.06
337	140	4	16.87
1296	14	4	4.92
158	133	3	4.45
