1246	2869	20
137	3338	34
178	2536	11
2640	7233	32
198	4623	16
6379	4980	0
2867	4905	3
785	6726	18
11665	6111	17
178	463	6
1047	2034	2
125	2889	7
102	1926	26
2	3300	29
20773	5508	0
2221	8372	16
12	6007	25
168	6745	20
10284	478	36
241	9559	5
341	2964	22
106	5453	4
18676	2761	3
25364	5255	20
316	6450	10
12	5942	18
570	7538	12
2854	2650	21
13440	8469	9
7755	6175	19
1724	9402	5
14	8241	17
2	4671	25
1381	7109	4
12	5448	12
15424	3729	2
11976	3584	9
871	7449	11
12	8430	8
819	8740	8
705	8807	17
179	5397	25
4070	890	12
460	3717	13
178	6810	24
252	9865	21
6108	6544	16
103	6595	12
336	5993	11
12	328	13
5922	1215	17
102	4537	14
376	8325	3
24132	3023	11
102	2129	19
4607	7418	5
12	7130	34
1821	1279	6
709	1290	11
738	2209	27
135	6108	1
129	3766	5
1987	4845	7
504	3802	5
932	2919	16
286	2236	0
1857	7904	5
507	6125	1
2539	5085	27
298	5333	1
112	7590	12
986	1516	16
6250	806	25
301	2704	6
103	3721	14
7804	130	5
642	9639	32
379	4286	16
102	8089	7
27146	9175	2
24802	2448	3
2	5371	0
3702	1260	9
101	9713	9
239	1852	18
14	9018	25
5028	7129	2
12	7717	2
385	8668	2
12	4943	8
2	3536	0
24107	4987	14
140	780	16
113	613	32
317	3034	5
101	6386	22
157	1977	0
969	1109	12
170	259	3
109	9648	13
102	4786	6
198	2836	33
1216	3090	15
26528	4562	13
14	5216	21
113	6050	16
3101	3471	6
2233	9927	4
193	9096	9
12	4401	22
12	2265	11
3120	9365	10
8812	8958	11
12	6487	16
110	4174	1
1095	5335	10
101	868	21
1592	9849	16
1064	9896	11
3901	5934	6
2	9901	0
866	6210	9
12	9237	4
2851	7818	4
469	5666	24
102	6223	22
15116	9153	35
124	4496	3
990	4330	10
108	8187	17
429	5172	3
2	5858	0
1662	5849	25
1359	1278	30
4210	6021	25
12	7293	9
1915	7820	13
853	7618	14
2550	4437	15
1613	7674	8
3281	9581	23
5354	228	23
10391	2849	38
676	2335	4
156	4868	1
4014	2470	20
335	158	9
14	6574	28
20408	2416	15
814	2542	6
25938	3538	4
355	5715	4
17856	2120	5
102	1258	12
7654	213	15
12	1303	2
102	4330	13
520	8078	3
313	8077	9
1658	6119	10
717	47	10
669	6159	2
424	9720	1
1203	1666	3
973	8160	12
1077	1420	5
155	4391	16
263	3149	20
12	5470	40
747	6686	22
2	5215	3
365	6403	2
381	8388	4
107	4557	18
13	5645	5
12	7872	10
146	407	23
2502	9878	0
231	8776	22
119	4279	19
14	7711	19
846	8219	0
124	6922	13
286	4729	0
3591	2817	8
1227	1039	13
852	9122	32
494	7621	9
8662	9580	0
104	4270	1
2	9396	0
247	6470	29
20140	9194	3
10065	3612	25
17011	6210	25
2565	5386	3
25051	3766	12
25446	2956	3
24691	4667	4
248	1535	3
12	7053	13
271	3774	4
101	2040	7
154	7587	25
12	6148	19
12	5549	4
2	2866	12
136	6261	21
3179	4139	10
276	9107	1
5061	7573	30
741	8095	5
133	2787	4
131	3476	17
4941	5328	2
484	8333	2
101	4063	10
254	755	0
23205	814	8
1814	485	8
123	8168	2
973	9045	24
857	6277	7
1521	7515	21
1347	5185	14
139	645	13
14	9688	21
5053	6882	4
110	2102	2
21622	1187	9
3351	4998	10
357	6282	32
117	910	10
10003	5129	5
17455	7167	11
1405	7773	6
402	4419	12
166	1185	2
9008	9331	2
430	9584	8
12	4831	22
128	8380	19
105	5900	12
14	910	20
133	8671	15
21669	1873	10
1109	8793	10
395	5085	34
19259	8140	16
117	8278	17
156	9704	6
12	5969	12
175	3928	1
595	2882	3
124	1754	1
1646	3507	18
1480	3695	19
251	38	24
352	4877	14
938	5725	29
8036	329	18
19976	4636	16
120	5092	19
19394	7037	20
12	4636	11
375	1235	1
334	6818	5
104	4376	10
107	7441	19
26693	879	18
225	4016	11
135	2530	13
101	8622	6
3052	2578	8
123	839	9
8765	9816	23
560	8163	4
1241	4656	9
1128	9173	1
13857	4870	14
14073	9341	32
241	1762	17
19775	2902	14
108	9867	5
8	3086	12
956	3000	4
160	8646	36
4300	9207	6
879	3395	12
189	7645	2
323	6901	5
14	8284	30
4342	6023	27
3044	5498	14
407	6347	25
232	6616	14
110	2238	5
103	8483	6
580	2414	21
3849	8974	19
3419	5572	5
318	8987	28
1402	5090	4
261	6221	5
12	4630	26
11650	598	12
176	9025	6
614	7049	1
12	3007	12
741	4099	22
5230	915	3
6898	5289	27
134	3966	12
3039	5148	21
102	5668	5
4396	1115	2
10091	6167	15
12	8766	4
402	9325	15
119	9452	6
3966	1127	12
211	1154	3
9550	7722	4
495	1908	5
592	6064	7
1426	721	32
102	9935	6
5417	3592	17
7055	7747	0
662	4773	4
103	9744	31
5675	8982	6
680	4682	5
3661	7313	15
988	4763	2
158	150	10
1875	6282	31
823	9719	14
159	1854	6
1593	1367	17
113	8744	16
1987	9811	26
12	5330	3
657	8156	12
1727	533	23
25098	5311	4
559	7990	19
274	4157	23
568	9249	10
16990	503	40
5040	2683	3
591	1047	3
979	2869	10
1247	6968	3
813	414	21
115	6561	20
103	1213	18
1951	6813	6
255	7439	11
138	3953	10
579	6671	4
108	6039	6
867	8710	3
1775	9831	22
161	4356	21
481	9566	7
747	5319	34
269	5736	4
12	9799	30
4043	3381	2
103	2922	27
109	7441	12
12	3975	29
106	7282	16
2	150	14
149	1325	15
102	6099	5
15760	4176	4
251	2493	15
562	1915	8
160	3512	12
566	8340	4
648	9843	15
101	7441	3
384	7568	5
12	3845	11
112	4320	2
2147	2097	16
13778	647	6
2760	3530	10
678	8400	17
109	2514	16
1363	1487	20
354	6416	14
318	5585	14
17789	4431	5
122	4101	5
12	2796	15
8069	1802	24
10853	8113	12
14	7731	23
698	7945	13
2034	733	16
12	7916	14
176	2963	13
173	8304	14
386	9854	31
400	656	4
262	6853	17
14	5782	12
3403	4309	22
14	9983	25
679	2962	7
22289	1113	9
109	9528	10
482	1009	10
2362	9508	3
130	5818	10
738	3756	14
7439	6486	5
14	3832	43
169	727	13
2760	760	11
23069	202	15
225	444	6
257	3615	1
1698	3315	22
1825	6297	30
601	129	16
603	9640	36
14	8526	22
350	6774	22
185	6332	30
11579	5730	13
421	8325	6
12	8530	18
6425	8322	11
229	1357	4
5882	9975	29
10921	7760	2
12	4411	7
103	8241	14
2824	8013	12
102	6369	4
15091	6982	8
117	9853	17
439	2033	14
1035	6931	4
159	2737	4
9	6332	4
7619	4786	4
103	7737	25
125	935	6
134	9108	22
1608	9993	51
160	385	5
6226	6772	9
308	9922	4
2632	4313	35
238	8269	28
247	2512	31
106	9644	22
2	4297	0
144	5750	0
12	3670	8
106	5573	3
8594	6219	8
175	9209	1
277	5697	9
139	8626	15
22026	2885	13
423	2231	2
14	4847	22
1549	26	0
115	8768	7
648	6302	16
12	7655	6
104	5765	1
460	1490	35
1994	8528	13
12	6184	23
12	2470	12
231	3361	3
107	8003	9
128	3683	13
259	1162	6
12	5568	11
317	4811	37
14	350	24
764	4173	6
368	1756	27
14	3918	32
586	2573	10
111	231	4
25181	1332	28
2119	7580	3
116	1779	13
2285	630	7
104	4014	1
6609	6138	5
774	7589	21
102	9367	13
17130	9915	14
114	8606	24
872	3751	12
103	1782	11
166	9228	12
3775	8930	11
12	2685	11
23133	770	6
14	6956	9
6836	8554	7
138	5267	5
6168	9372	2
235	5806	28
4461	2156	5
8811	8958	11
2738	734	19
800	2921	10
102	1707	4
22390	5678	2
424	3640	1
14	7640	33
101	4300	24
418	2696	7
12	7870	23
110	6055	6
19828	1626	18
21997	4699	23
3684	6491	9
2455	7591	25
724	4482	12
8330	4774	8
5435	5932	4
1038	1276	2
12	7360	9
156	2040	11
1380	4138	28
138	7689	11
103	9644	6
727	7349	9
9	1225	17
27263	498	14
1384	6577	20
4114	2879	10
554	326	19
143	6690	6
144	2507	0
1640	110	7
2651	6072	28
14	6482	23
101	6078	10
202	9605	12
506	3468	2
14	7388	13
101	1584	17
168	1388	19
146	4826	18
14490	8507	15
5214	6724	9
2001	5233	7
598	7710	7
12	8074	10
1343	3245	30
1634	6899	33
107	7470	5
108	3523	2
107	8367	12
14	819	20
722	632	8
426	5537	11
1080	3963	27
1311	4801	9
1800	734	1
176	3963	19
1836	5744	5
200	4140	1
128	5476	10
2974	7812	30
12	6526	34
2182	4915	13
1337	4355	3
357	6514	7
122	111	12
594	7450	9
14	3608	21
181	395	10
1320	1190	26
7251	731	7
575	8893	8
292	8931	23
427	2981	22
12	272	5
1205	4531	27
127	3284	31
219	8411	24
151	675	6
12	2422	3
638	2302	24
14	2536	17
3600	9886	11
14	398	23
259	1051	2
534	3919	1
4705	882	24
178	5930	12
114	8652	1
108	3903	10
800	8545	28
120	1694	35
907	5021	28
101	9134	5
276	522	18
3970	2810	26
144	2108	0
2430	7604	5
12	402	19
3938	2288	10
12	6266	14
114	6400	15
2399	2264	34
108	7164	22
9568	2198	2
165	244	12
11415	2334	19
14	7826	34
690	5644	7
102	1440	12
2	5930	22
24190	6464	4
12	4219	22
5483	8977	37
936	1869	20
1614	7543	23
360	7864	18
238	3723	1
4824	6480	14
168	7444	16
14	7567	14
1022	3784	31
12	2321	29
790	2043	1
126	6027	3
853	1287	13
190	825	3
12	6303	6
144	8536	0
103	3517	16
124	7509	1
401	1347	13
1362	9685	11
531	5984	12
11850	1438	2
657	4087	14
111	4381	19
8	1604	13
129	4115	28
502	2707	0
11527	827	11
105	5292	32
552	6585	1
154	1710	15
970	6436	4
101	7413	17
3200	808	1
2525	9342	5
10952	8953	16
147	282	8
221	6261	15
1452	9102	32
140	7151	6
16199	6186	21
137	3789	16
173	8561	20
4790	2818	2
12	3053	21
2404	2201	8
12	8812	29
412	3780	35
132	4531	29
1628	6575	9
3180	4139	10
6348	6736	0
4155	9191	26
111	6223	8
807	6949	6
12	2	13
576	3714	5
252	2957	12
154	1445	7
664	7952	8
